第１表,,,,刑法犯　罪種別　認知・検挙件数・検挙人員　対前年比較,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,認知件数,認知件数,認知件数,認知件数,検挙件数,検挙件数,検挙件数,検挙件数,検挙率,検挙率,検挙率,検挙人員,検挙人員,検挙人員,検挙人員,"検挙人員
うち)少年","検挙人員
うち)少年","検挙人員
うち)少年","検挙人員
うち)少年",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,罪種,"2022年
1～12月","2021年
1～12月",増減,増減率(％）,"2022年
1～12月","2021年
1～12月",増減,増減率(％),"2022年
1～12月","2021年
1～12月",増減ポイント,"2022年
1～12月","2021年
1～12月",増減,増減率(％),"2022年
1～12月","2021年
1～12月",増減,増減率(％),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
刑法犯総数,,601331,568104,33227,5.8,250350,264485,-14135,-5.3,41.6,46.6,-5,169409,175041,-5632,-3.2,14887,14818,69,0.5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
凶悪犯,計,4437,4149,288,6.9,3922,4007,-85,-2.1,88.4,96.6,-8.2,3978,4093,-115,-2.8,495,410,85,20.7,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
凶悪犯,殺人,853,874,-21,-2.4,817,883,-66,-7.5,95.8,101,-5.2,785,848,-63,-7.4,49,35,14,40,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
凶悪犯,強盗,1148,1138,10,0.9,1060,1130,-70,-6.2,92.3,99.3,-7,1322,1460,-138,-9.5,235,214,21,9.8,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
凶悪犯,放火,781,749,32,4.3,644,664,-20,-3,82.5,88.7,-6.2,532,534,-2,-0.4,38,27,11,40.7,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
凶悪犯,強制性交等,1655,1388,267,19.2,1401,1330,71,5.3,84.7,95.8,-11.1,1339,1251,88,7,173,134,39,29.1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
粗暴犯,計,52701,49717,2984,6,43499,43291,208,0.5,82.5,87.1,-4.6,45682,45724,-42,-0.1,2844,2815,29,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
粗暴犯,凶器準備集合,11,6,5,83.3,12,4,8,200,109.1,66.7,42.4,34,12,22,183.3,22,6,16,266.7,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
粗暴犯,暴行,27849,26436,1413,5.3,23313,23257,56,0.2,83.7,88,-4.3,23964,23993,-29,-0.1,796,743,53,7.1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
粗暴犯,傷害,19514,18145,1369,7.5,15845,15585,260,1.7,81.2,85.9,-4.7,17532,17525,7,0,1552,1614,-62,-3.8,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
粗暴犯,傷害　うち）傷害致死,56,63,-7,-11.1,59,65,-6,-9.2,105.4,103.2,2.2,92,85,7,8.2,4,12,-8,-66.7,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
粗暴犯,脅迫,4037,3893,144,3.7,3393,3373,20,0.6,84,86.6,-2.6,2993,2964,29,1,186,166,20,12,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
粗暴犯,恐喝,1290,1237,53,4.3,936,1072,-136,-12.7,72.6,86.7,-14.1,1159,1230,-71,-5.8,288,286,2,0.7,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
窃盗犯,計,407911,381769,26142,6.8,148122,161016,-12894,-8,36.3,42.2,-5.9,79234,84360,-5126,-6.1,7503,7421,82,1.1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
窃盗犯,侵入盗,36588,37240,-652,-1.8,22139,28456,-6317,-22.2,60.5,76.4,-15.9,4896,5167,-271,-5.2,315,340,-25,-7.4,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
窃盗犯,乗り物盗,142530,119336,23194,19.4,13006,12353,653,5.3,9.1,10.4,-1.3,5860,5604,256,4.6,2342,2214,128,5.8,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
窃盗犯,非侵入盗,228793,225193,3600,1.6,112977,120207,-7230,-6,49.4,53.4,-4,68478,73589,-5111,-6.9,4846,4867,-21,-0.4,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
知能犯,計,41308,36663,4645,12.7,18809,19154,-345,-1.8,45.5,52.2,-6.7,12534,12483,51,0.4,750,923,-173,-18.7,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
知能犯,詐欺,37928,33353,4575,13.7,16084,16527,-443,-2.7,42.4,49.6,-7.2,10507,10400,107,1,675,847,-172,-20.3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
知能犯,横領,1432,1282,150,11.7,1081,1079,2,0.2,75.5,84.2,-8.7,937,937,0,0,12,16,-4,-25,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
知能犯,偽造,1790,1893,-103,-5.4,1516,1428,88,6.2,84.7,75.4,9.3,929,991,-62,-6.3,63,60,3,5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
知能犯,偽造　うち）通貨偽造,251,311,-60,-19.3,184,58,126,217.2,73.3,18.6,54.7,33,44,-11,-25,2,1,1,100,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
知能犯,偽造　うち）文書偽造,1447,1337,110,8.2,1245,1165,80,6.9,86,87.1,-1.1,861,896,-35,-3.9,57,58,-1,-1.7,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
知能犯,偽造　うち）支払用カード偽造,1,25,-24,-96,0,61,-61,-100,0,244,-244,0,3,-3,-100,0,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
知能犯,偽造　うち）有価証券偽造,57,165,-108,-65.5,56,89,-33,-37.1,98.2,53.9,44.3,17,26,-9,-34.6,0,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
知能犯,汚職,77,72,5,6.9,68,69,-1,-1.4,88.3,95.8,-7.5,95,95,0,0,0,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
知能犯,汚職　うち）賄賂,42,47,-5,-10.6,40,52,-12,-23.1,95.2,110.6,-15.4,63,79,-16,-20.3,0,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
知能犯,あっせん利得処罰法,1,0,1,0,1,0,1,0,100,0,100,2,0,2,0,0,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
知能犯,背任,80,63,17,27,59,51,8,15.7,73.8,81,-7.2,64,60,4,6.7,0,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
風俗犯,計,8133,7880,253,3.2,6648,6738,-90,-1.3,81.7,85.5,-3.8,5432,5422,10,0.2,477,469,8,1.7,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
風俗犯,賭博,164,116,48,41.4,150,107,43,40.2,91.5,92.2,-0.7,542,504,38,7.5,2,3,-1,-33.3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
風俗犯,わいせつ,7969,7764,205,2.6,6498,6631,-133,-2,81.5,85.4,-3.9,4890,4918,-28,-0.6,475,466,9,1.9,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
風俗犯,わいせつ　うち）強制わいせつ,4708,4283,425,9.9,4062,3868,194,5,86.3,90.3,-4,3067,2903,164,5.6,313,266,47,17.7,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
風俗犯,わいせつ　うち）公然わいせつ,2387,2431,-44,-1.8,1587,1846,-259,-14,66.5,75.9,-9.4,1319,1452,-133,-9.2,101,139,-38,-27.3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
その他の刑法犯,計,86841,87926,-1085,-1.2,29350,30279,-929,-3.1,33.8,34.4,-0.6,22549,22959,-410,-1.8,2818,2780,38,1.4,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
その他の刑法犯,うち）占有離脱物横領,12335,11746,589,5,8842,9056,-214,-2.4,71.7,77.1,-5.4,8372,8680,-308,-3.5,1148,1051,97,9.2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
その他の刑法犯,うち）公務執行妨害,2176,2094,82,3.9,2116,2036,80,3.9,97.2,97.2,0,1654,1597,57,3.6,105,108,-3,-2.8,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
その他の刑法犯,うち）住居侵入,9514,9780,-266,-2.7,5232,5678,-446,-7.9,55,58.1,-3.1,3325,3425,-100,-2.9,707,747,-40,-5.4,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
その他の刑法犯,うち）逮捕監禁,259,271,-12,-4.4,253,252,1,0.4,97.7,93,4.7,325,366,-41,-11.2,47,56,-9,-16.1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
その他の刑法犯,うち）略取誘拐・人身売買,390,389,1,0.3,369,365,4,1.1,94.6,93.8,0.8,377,376,1,0.3,33,19,14,73.7,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
その他の刑法犯,うち）盗品,722,733,-11,-1.5,631,714,-83,-11.6,87.4,97.4,-10,534,607,-73,-12,195,213,-18,-8.5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
その他の刑法犯,うち）器物損壊等,54750,56925,-2175,-3.8,7879,8463,-584,-6.9,14.4,14.9,-0.5,4520,4563,-43,-0.9,384,360,24,6.7,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
第２表,,,,窃盗　手口別　認知・検挙件数・検挙人員　対前年比較,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,認知件数,認知件数,認知件数,認知件数,検挙件数,検挙件数,検挙件数,検挙件数,検挙率,検挙率,検挙率,検挙人員,検挙人員,検挙人員,検挙人員,"検挙人員
うち)少年","検挙人員
うち)少年","検挙人員
うち)少年","検挙人員
うち)少年",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,罪種,"2022年
1～12月","2021年
1～12月",増減,増減率(％）,"2022年
1～12月","2021年
1～12月",増減,増減率(％),"2022年
1～12月","2021年
1～12月",増減ポイント,"2022年
1～12月","2021年
1～12月",増減,増減率(％),"2022年
1～12月","2021年
1～12月",増減,増減率(％),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
窃盗総数,,407911,381769,26142,6.8,148122,161016,-12894,-8,36.3,42.2,-5.9,79234,84360,-5126,-6.1,7503,7421,82,1.1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
侵入盗,計,36588,37240,-652,-1.8,22139,28456,-6317,-22.2,60.5,76.4,-15.9,4896,5167,-271,-5.2,315,340,-25,-7.4,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
侵入盗,空き巣,10593,11166,-573,-5.1,5867,7949,-2082,-26.2,55.4,71.2,-15.8,1224,1333,-109,-8.2,80,92,-12,-13,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
侵入盗,忍込み,4215,5135,-920,-17.9,2817,4491,-1674,-37.3,66.8,87.5,-20.7,344,360,-16,-4.4,43,27,16,59.3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
侵入盗,居空き,884,982,-98,-10,531,715,-184,-25.7,60.1,72.8,-12.7,179,201,-22,-10.9,17,17,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
侵入盗,ＡＴＭ破り,15,16,-1,-6.3,10,9,1,11.1,66.7,56.3,10.4,3,6,-3,-50,0,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
侵入盗,金庫破り,739,681,58,8.5,415,503,-88,-17.5,56.2,73.9,-17.7,179,198,-19,-9.6,8,11,-3,-27.3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
侵入盗,旅館荒し,151,152,-1,-0.7,71,120,-49,-40.8,47,78.9,-31.9,43,59,-16,-27.1,2,4,-2,-50,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
侵入盗,官公署荒し,232,146,86,58.9,218,127,91,71.7,94,87,7,26,25,1,4,1,0,1,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
侵入盗,学校荒し,436,397,39,9.8,275,283,-8,-2.8,63.1,71.3,-8.2,79,97,-18,-18.6,21,28,-7,-25,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
侵入盗,病院荒し,545,295,250,84.7,194,384,-190,-49.5,35.6,130.2,-94.6,45,38,7,18.4,3,0,3,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
侵入盗,給油所荒し,78,70,8,11.4,89,37,52,140.5,114.1,52.9,61.2,12,7,5,71.4,0,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
侵入盗,事務所荒し,2840,2931,-91,-3.1,1852,1956,-104,-5.3,65.2,66.7,-1.5,445,459,-14,-3.1,17,20,-3,-15,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
侵入盗,出店荒し,4333,3958,375,9.5,3012,3567,-555,-15.6,69.5,90.1,-20.6,662,660,2,0.3,42,43,-1,-2.3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
侵入盗,工場荒し,464,496,-32,-6.5,286,380,-94,-24.7,61.6,76.6,-15,83,114,-31,-27.2,1,3,-2,-66.7,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
侵入盗,更衣室荒し,360,354,6,1.7,227,238,-11,-4.6,63.1,67.2,-4.1,98,96,2,2.1,21,20,1,5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
侵入盗,倉庫荒し,3402,3594,-192,-5.3,2102,2564,-462,-18,61.8,71.3,-9.5,614,649,-35,-5.4,21,32,-11,-34.4,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
侵入盗,その他,7301,6867,434,6.3,4173,5133,-960,-18.7,57.2,74.7,-17.5,860,865,-5,-0.6,38,43,-5,-11.6,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
乗り物盗,計,142530,119336,23194,19.4,13006,12353,653,5.3,9.1,10.4,-1.3,5860,5604,256,4.6,2342,2214,128,5.8,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
乗り物盗,自動車盗,5734,5182,552,10.7,2612,2556,56,2.2,45.6,49.3,-3.7,625,634,-9,-1.4,61,67,-6,-9,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
乗り物盗,オートバイ盗,7913,7569,344,4.5,1458,1289,169,13.1,18.4,17,1.4,720,727,-7,-1,616,620,-4,-0.6,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
乗り物盗,自転車盗,128883,106585,22298,20.9,8936,8508,428,5,6.9,8,-1.1,4515,4243,272,6.4,1665,1527,138,9,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
非侵入盗,計,228793,225193,3600,1.6,112977,120207,-7230,-6,49.4,53.4,-4,68478,73589,-5111,-6.9,4846,4867,-21,-0.4,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
非侵入盗,職権盗,2297,2228,69,3.1,1715,1805,-90,-5,74.7,81,-6.3,415,541,-126,-23.3,60,87,-27,-31,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
非侵入盗,慶弔盗,2,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
非侵入盗,追出し盗,16,16,0,0,10,8,2,25,62.5,50,12.5,8,8,0,0,1,3,-2,-66.7,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
非侵入盗,買物盗,573,535,38,7.1,267,263,4,1.5,46.6,49.2,-2.6,145,158,-13,-8.2,33,32,1,3.1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
非侵入盗,訪問盗,1495,966,529,54.8,769,522,247,47.3,51.4,54,-2.6,267,199,68,34.2,33,20,13,65,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
非侵入盗,払出盗,8070,8431,-361,-4.3,7580,8058,-478,-5.9,93.9,95.6,-1.7,314,322,-8,-2.5,31,34,-3,-8.8,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
非侵入盗,ＡＴＭねらい,1,8,-7,-87.5,2,6,-4,-66.7,200,75,125,1,1,0,0,0,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
非侵入盗,窓口ねらい,3,2,1,50,1,0,1,0,33.3,0,33.3,1,0,1,0,0,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
非侵入盗,途中ねらい,4,10,-6,-60,1,7,-6,-85.7,25,70,-45,1,6,-5,-83.3,0,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
非侵入盗,室内ねらい,364,379,-15,-4,80,119,-39,-32.8,22,31.4,-9.4,16,16,0,0,2,0,2,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
非侵入盗,客室ねらい,116,127,-11,-8.7,47,83,-36,-43.4,40.5,65.4,-24.9,33,45,-12,-26.7,1,2,-1,-50,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
非侵入盗,病室ねらい,245,276,-31,-11.2,29,98,-69,-70.4,11.8,35.5,-23.7,17,20,-3,-15,0,1,-1,-100,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
非侵入盗,ひったくり,716,544,172,31.6,414,426,-12,-2.8,57.8,78.3,-20.5,216,206,10,4.9,64,50,14,28,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
非侵入盗,すり,1112,1110,2,0.2,521,739,-218,-29.5,46.9,66.6,-19.7,345,287,58,20.2,35,17,18,105.9,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
非侵入盗,置引き,9308,9614,-306,-3.2,3504,3854,-350,-9.1,37.6,40.1,-2.5,2733,3129,-396,-12.7,116,120,-4,-3.3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
非侵入盗,仮睡者ねらい,2507,1755,752,42.8,250,134,116,86.6,10,7.6,2.4,113,73,40,54.8,19,8,11,137.5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
非侵入盗,車上ねらい,23289,23282,7,0,7741,8274,-533,-6.4,33.2,35.5,-2.3,1138,1171,-33,-2.8,81,80,1,1.3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
非侵入盗,部品ねらい,13301,13047,254,1.9,1693,1639,54,3.3,12.7,12.6,0.1,417,434,-17,-3.9,178,197,-19,-9.6,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
非侵入盗,脱衣場ねらい,1444,1197,247,20.6,230,581,-351,-60.4,15.9,48.5,-32.6,101,102,-1,-1,14,8,6,75,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
非侵入盗,自動販売機ねらい,2937,3004,-67,-2.2,1451,2072,-621,-30,49.4,69,-19.6,114,122,-8,-6.6,34,47,-13,-27.7,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
非侵入盗,色情ねらい,5147,6053,-906,-15,2832,2994,-162,-5.4,55,49.5,5.5,531,602,-71,-11.8,48,48,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
非侵入盗,工事場ねらい,4549,3648,901,24.7,1670,985,685,69.5,36.7,27,9.7,210,153,57,37.3,8,6,2,33.3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
非侵入盗,万引き,83598,86237,-2639,-3.1,58283,63493,-5210,-8.2,69.7,73.6,-3.9,45826,50369,-4543,-9,3354,3442,-88,-2.6,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
非侵入盗,職場ねらい,6999,6161,838,13.6,2598,2601,-3,-0.1,37.1,42.2,-5.1,1980,1974,6,0.3,221,217,4,1.8,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
非侵入盗,同居ねらい,557,507,50,9.9,227,215,12,5.6,40.8,42.4,-1.6,204,181,23,12.7,16,15,1,6.7,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
非侵入盗,さい銭ねらい,2707,2814,-107,-3.8,1772,2037,-265,-13,65.5,72.4,-6.9,456,522,-66,-12.6,15,14,1,7.1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
非侵入盗,その他,57436,53240,4196,7.9,19290,19194,96,0.5,33.6,36.1,-2.5,12876,12948,-72,-0.6,482,419,63,15,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
第３表,,,刑法犯総数　都道府県別　認知・検挙件数・検挙人員　対前年比較,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,認知件数,認知件数,認知件数,認知件数,検挙件数,検挙件数,検挙件数,検挙件数,検挙人員,検挙人員,検挙人員,検挙人員,検挙率,検挙率,検挙率,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,都道府県,"2022年
1～12月","2021年
1～12月",増減,増減率(％),"2022年
1～12月","2021年
1～12月",増減,増減率(％),"2022年
1～12月","2021年
1～12月",増減,増減率(％）,"2022年
1～12月","2021年
1～12月",増減ポイント,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
総数,,601331,568104,33227,5.8,250350,264485,-14135,-5.3,169409,175041,-5632,-3.2,41.6,46.6,-5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
北海道,計,19604,18429,1175,6.4,9530,10397,-867,-8.3,7588,7556,32,0.4,48.6,56.4,-7.8,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
北海道,札幌方面,14059,12893,1166,9,6060,7016,-956,-13.6,4921,4915,6,0.1,43.1,54.4,-11.3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
北海道,函館方面,1331,1470,-139,-9.5,692,796,-104,-13.1,637,644,-7,-1.1,52,54.1,-2.1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
北海道,旭川方面,1934,1710,224,13.1,1303,950,353,37.2,866,819,47,5.7,67.4,55.6,11.8,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
北海道,釧路方面,1672,1672,0,0,1044,1170,-126,-10.8,830,832,-2,-0.2,62.4,70,-7.6,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
北海道,北見方面,608,684,-76,-11.1,431,465,-34,-7.3,334,346,-12,-3.5,70.9,68,2.9,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
東北,計,27683,26636,1047,3.9,14245,15313,-1068,-7,8975,9331,-356,-3.8,51.5,57.5,-6,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
東北,青森県,3462,3067,395,12.9,1949,1966,-17,-0.9,1253,1264,-11,-0.9,56.3,64.1,-7.8,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
東北,岩手県,2655,2507,148,5.9,1478,1634,-156,-9.5,955,1057,-102,-9.6,55.7,65.2,-9.5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
東北,宮城県,9897,9398,499,5.3,4099,4402,-303,-6.9,2680,2602,78,3,41.4,46.8,-5.4,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
東北,秋田県,1871,1984,-113,-5.7,1265,1486,-221,-14.9,861,1002,-141,-14.1,67.6,74.9,-7.3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
東北,山形県,2885,3053,-168,-5.5,2105,2502,-397,-15.9,1393,1402,-9,-0.6,73,82,-9,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
東北,福島県,6913,6627,286,4.3,3349,3323,26,0.8,1833,2004,-171,-8.5,48.4,50.1,-1.7,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
東京都,,78475,75288,3187,4.2,30587,30950,-363,-1.2,20911,21026,-115,-0.5,39,41.1,-2.1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
関東,計,177541,169332,8209,4.8,72761,78176,-5415,-6.9,44544,47465,-2921,-6.2,41,46.2,-5.2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
関東,茨城県,15986,14277,1709,12,4988,5833,-845,-14.5,3207,3107,100,3.2,31.2,40.9,-9.7,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
関東,栃木県,8883,9027,-144,-1.6,3762,3845,-83,-2.2,2009,1975,34,1.7,42.4,42.6,-0.2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
関東,群馬県,10159,9079,1080,11.9,4962,5121,-159,-3.1,2676,3036,-360,-11.9,48.8,56.4,-7.6,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
関東,埼玉県,41983,40166,1817,4.5,15253,15902,-649,-4.1,9573,10324,-751,-7.3,36.3,39.6,-3.3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
関東,千葉県,32728,32638,90,0.3,11109,12359,-1250,-10.1,6700,7663,-963,-12.6,33.9,37.9,-4,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
関東,神奈川県,36575,33252,3323,10,16567,17537,-970,-5.5,10134,10564,-430,-4.1,45.3,52.7,-7.4,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
関東,新潟県,7433,7746,-313,-4,4155,4593,-438,-9.5,2626,2629,-3,-0.1,55.9,59.3,-3.4,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
